No	TMNo	EnNo	Name	INOUT	Mode	DateTime
9183	1	420		0	0	2018/05/11 09:01:25
9184	1	420		1	0	2018/05/11 09:03:46
9185	1	420		0	0	2018/05/11 09:04:55
9186	1	420		1	0	2018/05/11 09:16:52
9187	1	420		0	0	2018/05/11 09:24:22
9188	1	417		0	0	2018/05/11 09:27:28
9189	1	449		0	0	2018/05/11 09:28:07
9190	1	420		1	0	2018/05/11 09:48:14
9191	1	436		0	0	2018/05/11 09:48:28
9192	1	391		0	0	2018/05/11 09:51:50
9193	1	420		0	0	2018/05/11 09:54:13
9194	1	420		1	0	2018/05/11 09:56:59
9195	1	393		0	0	2018/05/11 10:04:58
9196	1	425		0	0	2018/05/11 10:06:34
9197	1	420		1	0	2018/05/11 10:08:26
9198	1	384		0	0	2018/05/11 10:10:17
9199	1	300		0	0	2018/05/11 10:13:13
9200	1	420		0	0	2018/05/11 10:13:55
9201	1	302		1	0	2018/05/11 10:16:03
9202	1	302		0	0	2018/05/11 10:17:13
9203	1	302		1	0	2018/05/11 10:18:11
9204	1	417		1	0	2018/05/11 10:20:10
9205	1	302		0	0	2018/05/11 10:21:31
9206	1	452		0	0	2018/05/11 10:25:37
9207	1	386		0	0	2018/05/11 10:26:07
9208	1	386		0	0	2018/05/11 10:26:09
9209	1	386		1	0	2018/05/11 10:26:50
9210	1	302		1	0	2018/05/11 10:27:07
9211	1	429		0	0	2018/05/11 10:27:47
9212	1	386		0	0	2018/05/11 10:28:34
9213	1	386		1	0	2018/05/11 10:29:57
9214	1	387		0	0	2018/05/11 10:30:45
9215	1	405		0	0	2018/05/11 10:30:53
9216	1	397		0	0	2018/05/11 10:35:18
9217	1	368		0	0	2018/05/11 10:35:36
9218	1	437		0	0	2018/05/11 10:35:47
9219	1	420		1	0	2018/05/11 10:37:17
9220	1	446		0	0	2018/05/11 10:38:48
9221	1	288		0	0	2018/05/11 10:39:08
9222	1	394		0	0	2018/05/11 10:40:18
9223	1	387		1	0	2018/05/11 10:42:39
9224	1	387		0	0	2018/05/11 10:45:31
9225	1	420		0	0	2018/05/11 10:48:16
9226	1	420		1	0	2018/05/11 10:48:48
9227	1	420		1	0	2018/05/11 10:49:29
9228	1	420		0	0	2018/05/11 10:53:46
9229	1	432		0	0	2018/05/11 10:54:19
9230	1	420		1	0	2018/05/11 10:54:57
9231	1	420		1	0	2018/05/11 10:55:11
9232	1	302		0	0	2018/05/11 11:01:56
9233	1	420		0	0	2018/05/11 11:05:17
9234	1	420		1	0	2018/05/11 11:08:05
9235	1	449		1	0	2018/05/11 11:08:42
9236	1	449		0	0	2018/05/11 11:11:32
9237	1	376		0	0	2018/05/11 11:11:38
9238	1	300		1	0	2018/05/11 11:11:53
9239	1	420		1	0	2018/05/11 11:13:53
9240	1	420		0	0	2018/05/11 11:14:49
9241	1	420		1	0	2018/05/11 11:22:10
9242	1	420		0	0	2018/05/11 11:25:48
9243	1	420		1	0	2018/05/11 11:26:22
9244	1	449		1	0	2018/05/11 11:29:11
9245	1	449		0	0	2018/05/11 11:30:38
9246	1	420		0	0	2018/05/11 11:31:17
9247	1	405		1	0	2018/05/11 11:32:55
9248	1	452		1	0	2018/05/11 11:33:08
9249	1	436		1	0	2018/05/11 11:33:58
9250	1	405		0	0	2018/05/11 11:35:54
9251	1	452		0	0	2018/05/11 11:35:58
9252	1	436		0	0	2018/05/11 11:36:49
9253	1	386		1	0	2018/05/11 11:41:51
9254	1	417		1	0	2018/05/11 11:43:27
9255	1	386		0	0	2018/05/11 11:44:42
9256	1	417		0	0	2018/05/11 11:46:16
9257	1	417		0	0	2018/05/11 11:46:17
9258	1	446		1	0	2018/05/11 11:47:29
9259	1	446		0	0	2018/05/11 11:49:35
9260	1	420		0	0	2018/05/11 11:52:31
9261	1	420		1	0	2018/05/11 11:53:12
9262	1	420		0	0	2018/05/11 11:55:08
9263	1	420		0	0	2018/05/11 11:55:54
9264	1	420		1	0	2018/05/11 11:56:48
9265	1	420		1	0	2018/05/11 11:57:44
9266	1	387		1	0	2018/05/11 12:00:54
9267	1	300		0	0	2018/05/11 12:01:00
9268	1	417		1	0	2018/05/11 12:01:51
9269	1	387		0	0	2018/05/11 12:03:51
9270	1	420		0	0	2018/05/11 12:11:54
9271	1	420		1	0	2018/05/11 12:13:41
9272	1	420		0	0	2018/05/11 12:16:31
9273	1	420		1	0	2018/05/11 12:17:49
9274	1	420		1	0	2018/05/11 12:19:35
9275	1	420		0	0	2018/05/11 12:30:45
9276	1	436		1	0	2018/05/11 12:33:24
9277	1	420		0	0	2018/05/11 12:35:07
9278	1	436		0	0	2018/05/11 12:35:41
9279	1	420		1	0	2018/05/11 12:36:32
9280	1	449		1	0	2018/05/11 12:38:41
9281	1	420		0	0	2018/05/11 12:40:40
9282	1	420		1	0	2018/05/11 12:41:13
9283	1	449		0	0	2018/05/11 12:43:27
9284	1	449		1	0	2018/05/11 12:44:54
9285	1	420		0	0	2018/05/11 12:47:51
9286	1	386		1	0	2018/05/11 12:49:01
9287	1	302		1	0	2018/05/11 12:49:24
9288	1	386		0	0	2018/05/11 12:51:59
9289	1	420		0	0	2018/05/11 12:52:59
9290	1	384		1	0	2018/05/11 12:53:31
9291	1	449		0	0	2018/05/11 12:53:55
9292	1	384		0	0	2018/05/11 12:56:12
9293	1	449		1	0	2018/05/11 12:57:50
9294	1	449		0	0	2018/05/11 12:59:10
9295	1	376		1	0	2018/05/11 13:00:29
9296	1	449		1	0	2018/05/11 13:00:33
9297	1	429		0	0	2018/05/11 13:02:45
9298	1	449		0	0	2018/05/11 13:03:08
9299	1	417		1	0	2018/05/11 13:03:41
9300	1	432		1	0	2018/05/11 13:03:56
9301	1	405		1	0	2018/05/11 13:06:19
9302	1	449		1	0	2018/05/11 13:06:22
9303	1	376		0	0	2018/05/11 13:07:10
9304	1	420		0	0	2018/05/11 13:07:45
9305	1	405		0	0	2018/05/11 13:09:53
9306	1	432		0	0	2018/05/11 13:10:38
9307	1	420		0	0	2018/05/11 13:11:04
9308	1	449		0	0	2018/05/11 13:11:20
9309	1	300		0	0	2018/05/11 13:12:23
9310	1	425		1	0	2018/05/11 13:13:44
9311	1	394		1	0	2018/05/11 13:14:44
9312	1	397		1	0	2018/05/11 13:14:45
9313	1	449		1	0	2018/05/11 13:14:51
9314	1	368		1	0	2018/05/11 13:15:51
9315	1	391		1	0	2018/05/11 13:17:00
9316	1	449		0	0	2018/05/11 13:18:18
9317	1	393		1	0	2018/05/11 13:19:11
9318	1	449		1	0	2018/05/11 13:19:19
9319	1	368		0	0	2018/05/11 13:19:23
9320	1	300		0	0	2018/05/11 13:20:44
9321	1	446		1	0	2018/05/11 13:24:31
9322	1	449		0	0	2018/05/11 13:25:36
9323	1	446		0	0	2018/05/11 13:26:25
9324	1	446		1	0	2018/05/11 13:26:37
9325	1	449		1	0	2018/05/11 13:27:33
9326	1	386		1	0	2018/05/11 13:28:08
9327	1	405		1	0	2018/05/11 13:32:51
9328	1	376		1	0	2018/05/11 13:34:38
9329	1	420		0	0	2018/05/11 13:37:52
9330	1	420		1	0	2018/05/11 13:38:50
9331	1	420		0	0	2018/05/11 13:39:27
9332	1	420		1	0	2018/05/11 13:40:16
9333	1	446		0	0	2018/05/11 13:41:56
9334	1	384		0	0	2018/05/11 13:43:09
9335	1	384		1	0	2018/05/11 13:43:44
9336	1	452		1	0	2018/05/11 13:43:46
9337	1	432		1	0	2018/05/11 13:44:20
9338	1	449		0	0	2018/05/11 13:45:12
9339	1	452		0	0	2018/05/11 13:45:32
9340	1	393		1	0	2018/05/11 13:45:55
9341	1	449		1	0	2018/05/11 13:46:23
9342	1	449		0	0	2018/05/11 13:50:26
9343	1	449		1	0	2018/05/11 13:53:31
9344	1	300		1	0	2018/05/11 13:57:50
9345	1	384		0	0	2018/05/11 14:09:40
9346	1	397		0	0	2018/05/11 14:10:43
9347	1	429		0	0	2018/05/11 14:10:44
9348	1	432		0	0	2018/05/11 14:11:03
9349	1	452		1	0	2018/05/11 14:11:29
9350	1	405		0	0	2018/05/11 14:11:38
9351	1	391		0	0	2018/05/11 14:12:23
9352	1	425		0	0	2018/05/11 14:13:41
9353	1	300		1	0	2018/05/11 14:14:43
9354	1	300		1	0	2018/05/11 14:17:55
9355	1	300		0	0	2018/05/11 14:18:15
9356	1	420		0	0	2018/05/11 14:18:54
9357	1	449		0	0	2018/05/11 14:19:08
9358	1	420		1	0	2018/05/11 14:20:18
9359	1	420		0	0	2018/05/11 14:21:11
9360	1	420		1	0	2018/05/11 14:23:01
9361	1	449		1	0	2018/05/11 14:23:34
9362	1	368		0	0	2018/05/11 14:26:14
9363	1	376		0	0	2018/05/11 14:26:19
9364	1	449		0	0	2018/05/11 14:31:47
9365	1	452		0	0	2018/05/11 14:40:27
9366	1	449		1	0	2018/05/11 14:44:45
9367	1	449		0	0	2018/05/11 14:45:18
9368	1	449		1	0	2018/05/11 14:45:32
9369	1	449		0	0	2018/05/11 14:45:52
9370	1	397		1	0	2018/05/11 14:51:28
9371	1	397		0	0	2018/05/11 14:58:07
9372	1	420		0	0	2018/05/11 15:00:02
9373	1	420		1	0	2018/05/11 15:01:31
9374	1	405		1	0	2018/05/11 15:08:17
9375	1	405		0	0	2018/05/11 15:09:09
9376	1	446		1	0	2018/05/11 15:13:11
9377	1	420		0	0	2018/05/11 15:13:37
9378	1	449		1	0	2018/05/11 15:14:02
9379	1	449		0	0	2018/05/11 15:14:16
9380	1	446		0	0	2018/05/11 15:14:26
9381	1	432		1	0	2018/05/11 15:19:17
9382	1	432		0	0	2018/05/11 15:21:16
9383	1	300		1	0	2018/05/11 15:23:19
9384	1	300		0	0	2018/05/11 15:26:04
9385	1	449		1	0	2018/05/11 15:28:31
9386	1	449		0	0	2018/05/11 15:29:19
9387	1	302		1	0	2018/05/11 16:02:08
9388	1	384		1	0	2018/05/11 16:03:02
9389	1	449		1	0	2018/05/11 16:05:11
9390	1	384		0	0	2018/05/11 16:05:39
9391	1	387		1	0	2018/05/11 16:05:48
9392	1	420		0	0	2018/05/11 16:07:17
9393	1	387		0	0	2018/05/11 16:08:14
9394	1	449		0	0	2018/05/11 16:08:46
9395	1	446		1	0	2018/05/11 16:10:43
9396	1	376		1	0	2018/05/11 16:11:59
9397	1	449		1	0	2018/05/11 16:12:32
9398	1	446		0	0	2018/05/11 16:12:48
